01:04:01.820	SERVER	admin	OK	Server was started (port: 1984).
01:04:09.310	127.0.0.1:44926	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	7.0 ms
01:04:09.647	127.0.0.1:44926	admin	OK	EXEC[0]	336.24 ms
01:04:09.647	127.0.0.1:44926	admin	OK	CLOSE[0]	0.07 ms
01:04:09.661	127.0.0.1:44926	admin	REQUEST	EXIT	13.57 ms
01:04:09.661	127.0.0.1:44926	admin	OK		0.27 ms
01:04:13.753	127.0.0.1:44934	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.34 ms
01:04:13.761	127.0.0.1:44934	admin	OK	EXEC[0]	7.12 ms
01:04:13.761	127.0.0.1:44934	admin	OK	CLOSE[0]	0.04 ms
01:04:13.761	127.0.0.1:44934	admin	REQUEST	EXIT	0.3 ms
01:04:13.762	127.0.0.1:44934	admin	OK		0.18 ms
01:04:19.526	127.0.0.1:45078	admin	OK	QUERY[0] <liga> { let $idliga := 1 for $c in doc('Ligas')/ligas/liga where $c/idliga/text() = $idliga return for $a in $c//clube return <clube> <idclube>{$a/idclube/text()}</idclube> <nomeclube>{$a/nomeclube/text()}</nomeclube> <vitorias>{$a/vitorias/text()}</vitorias> <empates>{$a/empates/text()}</empates> <derrotas>{$a/derrotas/text()}</derrotas> <posicaoclube>{$a/posicaoclube/text()}</posicaoclube> <imagemclube>{$a/imagemclube/text()}</imagemclube> <pontos>{$a/pontos/text()}</pontos> <golosmarcados>{$a/golosmarcados/text()}</golosmarcados> <golossofridos>{$a/golossofridos/text()}</golossofridos> </clube> } </liga>	0.2 ms
01:04:19.566	127.0.0.1:45078	admin	OK	EXEC[0]	39.43 ms
01:04:19.566	127.0.0.1:45078	admin	OK	CLOSE[0]	0.04 ms
01:04:19.566	127.0.0.1:45078	admin	REQUEST	EXIT	0.22 ms
01:04:19.566	127.0.0.1:45078	admin	OK		0.11 ms
01:04:27.797	127.0.0.1:45160	admin	OK	QUERY[0] <clube> { let $id := 1 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> </club> }</clube>	0.29 ms
01:04:27.807	127.0.0.1:45160	admin	OK	EXEC[0]	9.91 ms
01:04:27.808	127.0.0.1:45160	admin	OK	CLOSE[0]	0.23 ms
01:04:27.809	127.0.0.1:45160	admin	REQUEST	EXIT	0.44 ms
01:04:27.809	127.0.0.1:45160	admin	OK		0.16 ms
01:04:40.046	127.0.0.1:45184	admin	OK	QUERY[0] <clube> { let $id := 1 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> </club> }</clube>	0.36 ms
01:04:40.054	127.0.0.1:45184	admin	OK	EXEC[0]	7.04 ms
01:04:40.054	127.0.0.1:45184	admin	OK	CLOSE[0]	0.03 ms
01:04:40.054	127.0.0.1:45184	admin	REQUEST	EXIT	0.21 ms
01:04:40.054	127.0.0.1:45184	admin	OK		0.1 ms
