17:18:27.797	SERVER	admin	OK	Server was started (port: 1984).
17:18:30.694	127.0.0.1:59746	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	49.0 ms
17:18:31.270	127.0.0.1:59746	admin	OK	EXEC[0]	575.41 ms
17:18:31.271	127.0.0.1:59746	admin	OK	CLOSE[0]	0.08 ms
17:18:31.299	127.0.0.1:59746	admin	REQUEST	EXIT	28.07 ms
17:18:31.299	127.0.0.1:59746	admin	OK		0.25 ms
17:18:49.059	127.0.0.1:59858	admin	OK	QUERY[0] <liga> { let $idliga := 1 for $c in doc('Ligas')/ligas/liga where $c/idliga/text() = $idliga return for $a in $c//clube return <clube> <idclube>{$a/idclube/text()}</idclube> <nomeclube>{$a/nomeclube/text()}</nomeclube> <vitorias>{$a/vitorias/text()}</vitorias> <empates>{$a/empates/text()}</empates> <derrotas>{$a/derrotas/text()}</derrotas> <posicaoclube>{$a/posicaoclube/text()}</posicaoclube> <imagemclube>{$a/imagemclube/text()}</imagemclube> <pontos>{$a/pontos/text()}</pontos> <golosmarcados>{$a/golosmarcados/text()}</golosmarcados> <golossofridos>{$a/golossofridos/text()}</golossofridos> </clube> } </liga>	1.63 ms
17:18:49.123	127.0.0.1:59858	admin	OK	EXEC[0]	62.63 ms
17:18:49.123	127.0.0.1:59858	admin	OK	CLOSE[0]	0.06 ms
17:18:49.123	127.0.0.1:59858	admin	REQUEST	EXIT	0.45 ms
17:18:49.124	127.0.0.1:59858	admin	OK		0.25 ms
17:23:04.930	127.0.0.1:60252	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.21 ms
17:23:04.938	127.0.0.1:60252	admin	OK	EXEC[0]	7.5 ms
17:23:04.939	127.0.0.1:60252	admin	OK	CLOSE[0]	0.13 ms
17:23:04.940	127.0.0.1:60252	admin	REQUEST	EXIT	0.39 ms
17:23:04.940	127.0.0.1:60252	admin	OK		0.23 ms
18:12:26.139	127.0.0.1:60802	admin	OK	QUERY[0] <liga> { let $idliga := 1 for $c in doc('Ligas')/ligas/liga where $c/idliga/text() = $idliga return for $a in $c//clube return <clube> <idclube>{$a/idclube/text()}</idclube> <nomeclube>{$a/nomeclube/text()}</nomeclube> <vitorias>{$a/vitorias/text()}</vitorias> <empates>{$a/empates/text()}</empates> <derrotas>{$a/derrotas/text()}</derrotas> <posicaoclube>{$a/posicaoclube/text()}</posicaoclube> <imagemclube>{$a/imagemclube/text()}</imagemclube> <pontos>{$a/pontos/text()}</pontos> <golosmarcados>{$a/golosmarcados/text()}</golosmarcados> <golossofridos>{$a/golossofridos/text()}</golossofridos> </clube> } </liga>	0.22 ms
18:12:26.160	127.0.0.1:60802	admin	OK	EXEC[0]	20.44 ms
18:12:26.163	127.0.0.1:60802	admin	OK	CLOSE[0]	0.16 ms
18:12:26.164	127.0.0.1:60802	admin	REQUEST	EXIT	0.42 ms
