17:48:10.486	SERVER	admin	OK	Server was started (port: 1984).
17:48:15.038	127.0.0.1:37314	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	72.52 ms
17:48:17.482	127.0.0.1:37314	admin	OK	EXEC[0]	2434.71 ms
17:48:17.483	127.0.0.1:37314	admin	OK	CLOSE[0]	0.58 ms
17:48:17.615	127.0.0.1:37314	admin	REQUEST	EXIT	126.9 ms
17:48:17.616	127.0.0.1:37314	admin	OK		1.38 ms
17:48:24.154	127.0.0.1:37380	admin	OK	QUERY[0] <liga> { let $idliga := "1" for $c in doc('Ligas')/ligas/liga where $c/idliga/text() = $idliga return for $a in $c//clube return <clube> <idclube>{$a/idclube/text()}</idclube> <nomeclube>{$a/nomeclube/text()}</nomeclube> <vitorias>{$a/vitorias/text()}</vitorias> <empates>{$a/empates/text()}</empates> <derrotas>{$a/derrotas/text()}</derrotas> <posicaoclube>{$a/posicaoclube/text()}</posicaoclube> <imagemclube>{$a/imagemclube/text()}</imagemclube> <pontos>{$a/pontos/text()}</pontos> <golosmarcados>{$a/golosmarcados/text()}</golosmarcados> <golossofridos>{$a/golossofridos/text()}</golossofridos> </clube> } </liga>	10.23 ms
17:48:24.420	127.0.0.1:37380	admin	OK	EXEC[0]	264.42 ms
17:48:24.432	127.0.0.1:37380	admin	OK	CLOSE[0]	0.83 ms
17:48:24.443	127.0.0.1:37380	admin	REQUEST	EXIT	2.47 ms
17:48:24.444	127.0.0.1:37380	admin	OK		1.31 ms
17:49:02.156	127.0.0.1:37442	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	1.2 ms
17:49:02.201	127.0.0.1:37442	admin	OK	EXEC[0]	42.73 ms
17:49:02.203	127.0.0.1:37442	admin	OK	CLOSE[0]	0.54 ms
17:49:02.210	127.0.0.1:37442	admin	REQUEST	EXIT	2.03 ms
17:49:02.212	127.0.0.1:37442	admin	OK		1.21 ms
