18:32:32.143	127.0.0.1:46708	admin	OK	QUERY[0] let $id := '4' let $pontos := '200' let $posicao := '1' let $vitorias := '100' let $empates := '0' let $derrotas := '0' let $treinador := 'Sérgio Conceição' let $golossofridos := '0' let $golosmarcados := '100' let $estadio := 'Estádio do Dragão' let $presidente := 'Jorge Nuno Pinto da Costa' let $cidade := 'Porto' let $anofund := '1893' let $nomecompleto := 'Futebol Clube do Porto' let $anofund := '1893' let $nomeinc := 'Porto' let $sigla := 'FCP' for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text() = $id return (replace value of node $c/pontos with $pontos, replace value of node $c/posicaoclube with $posicao, replace value of node $c/vitorias with $vitorias, replace value of node $c/empates with $empates, replace value of node $c/derrotas with $derrotas, replace value of node $c/treinador with $treinador, replace value of node $c/golossofridos with $golossofridos, replace value of node $c/golosmarcados with $golosmarcados, replace value of node $c/cidade w...	1.1 ms
18:32:32.288	127.0.0.1:46708	admin	OK	EXEC[0]	143.62 ms
18:32:32.288	127.0.0.1:46708	admin	OK	CLOSE[0]	0.05 ms
18:32:32.288	127.0.0.1:46708	admin	REQUEST	EXIT	0.3 ms
18:32:32.289	127.0.0.1:46708	admin	OK		0.19 ms
18:32:32.313	127.0.0.1:46712	admin	OK	QUERY[0] <clube> { let $id := 4 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> <liga>{$c/../idliga/text()}</liga> <nomeliga>{$c/../nomeliga/text()}</nomeliga> </club> }</clube>	0.28 ms
18:32:32.321	127.0.0.1:46712	admin	OK	EXEC[0]	7.62 ms
18:32:32.325	127.0.0.1:46712	admin	OK	CLOSE[0]	0.15 ms
18:32:32.326	127.0.0.1:46712	admin	REQUEST	EXIT	0.41 ms
18:32:32.326	127.0.0.1:46712	admin	OK		0.21 ms
18:32:32.332	127.0.0.1:46714	admin	OK	QUERY[0] let $s := 4 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$s return for $d in $c//jogadores return $d	0.17 ms
18:32:32.337	127.0.0.1:46714	admin	OK	EXEC[0]	5.1 ms
18:32:32.338	127.0.0.1:46714	admin	OK	CLOSE[0]	0.07 ms
18:32:32.338	127.0.0.1:46714	admin	REQUEST	EXIT	0.45 ms
18:32:32.338	127.0.0.1:46714	admin	OK		0.22 ms
18:43:20.100	127.0.0.1:47270	admin	OK	QUERY[0] <liga> { let $idliga := 1 for $c in doc('Ligas')/ligas/liga where $c/idliga/text() = $idliga return for $a in $c//clube return <clube> <idclube>{$a/idclube/text()}</idclube> <nomeclube>{$a/nomeclube/text()}</nomeclube> <vitorias>{$a/vitorias/text()}</vitorias> <empates>{$a/empates/text()}</empates> <derrotas>{$a/derrotas/text()}</derrotas> <posicaoclube>{$a/posicaoclube/text()}</posicaoclube> <imagemclube>{$a/imagemclube/text()}</imagemclube> <pontos>{$a/pontos/text()}</pontos> <golosmarcados>{$a/golosmarcados/text()}</golosmarcados> <golossofridos>{$a/golossofridos/text()}</golossofridos> </clube> } </liga>	0.27 ms
18:43:20.110	127.0.0.1:47270	admin	OK	EXEC[0]	9.52 ms
18:43:20.133	127.0.0.1:47270	admin	OK	CLOSE[0]	0.14 ms
18:43:20.134	127.0.0.1:47270	admin	REQUEST	EXIT	0.38 ms
18:43:20.134	127.0.0.1:47270	admin	OK		0.23 ms
18:43:24.202	127.0.0.1:47276	admin	OK	QUERY[0] <clube> { let $id := 4 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> <liga>{$c/../idliga/text()}</liga> <nomeliga>{$c/../nomeliga/text()}</nomeliga> </club> }</clube>	0.23 ms
18:43:24.209	127.0.0.1:47276	admin	OK	EXEC[0]	6.82 ms
18:43:24.209	127.0.0.1:47276	admin	OK	CLOSE[0]	0.08 ms
18:43:24.210	127.0.0.1:47276	admin	REQUEST	EXIT	0.42 ms
18:43:24.210	127.0.0.1:47276	admin	OK		0.28 ms
18:43:24.213	127.0.0.1:47278	admin	OK	QUERY[0] let $s := 4 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$s return for $d in $c//jogadores return $d	0.23 ms
18:43:24.218	127.0.0.1:47278	admin	OK	EXEC[0]	5.11 ms
18:43:24.219	127.0.0.1:47278	admin	OK	CLOSE[0]	0.07 ms
18:43:24.219	127.0.0.1:47278	admin	REQUEST	EXIT	0.36 ms
18:43:24.219	127.0.0.1:47278	admin	OK		0.18 ms
18:51:55.228	127.0.0.1:47296	admin	REQUEST	EXIT	0.6 ms
18:51:55.229	127.0.0.1:47296	admin	OK		0.26 ms
18:57:32.523	127.0.0.1:47308	admin	OK	QUERY[0] <clube> { let $id := 4 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> <liga>{$c/../idliga/text()}</liga> <nomeliga>{$c/../nomeliga/text()}</nomeliga> </club> }</clube>	0.49 ms
18:57:32.529	127.0.0.1:47308	admin	OK	EXEC[0]	6.11 ms
18:57:32.533	127.0.0.1:47308	admin	OK	CLOSE[0]	0.16 ms
18:57:32.533	127.0.0.1:47308	admin	REQUEST	EXIT	0.4 ms
18:57:32.533	127.0.0.1:47308	admin	OK		0.26 ms
18:57:32.537	127.0.0.1:47310	admin	OK	QUERY[0] let $s := 4 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$s return for $d in $c//jogadores return $d	0.13 ms
18:57:32.540	127.0.0.1:47310	admin	OK	EXEC[0]	3.47 ms
18:57:32.540	127.0.0.1:47310	admin	OK	CLOSE[0]	0.06 ms
18:57:32.541	127.0.0.1:47310	admin	REQUEST	EXIT	0.36 ms
18:57:32.541	127.0.0.1:47310	admin	OK		0.2 ms
18:57:36.063	127.0.0.1:47380	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.19 ms
18:57:36.066	127.0.0.1:47380	admin	OK	EXEC[0]	2.9 ms
18:57:36.067	127.0.0.1:47380	admin	OK	CLOSE[0]	0.07 ms
18:57:36.067	127.0.0.1:47380	admin	REQUEST	EXIT	0.5 ms
18:57:36.068	127.0.0.1:47380	admin	OK		0.23 ms
18:57:45.783	127.0.0.1:47392	admin	OK	QUERY[0] <clube> { let $id := 3 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> <liga>{$c/../idliga/text()}</liga> <nomeliga>{$c/../nomeliga/text()}</nomeliga> </club> }</clube>	0.24 ms
18:57:45.787	127.0.0.1:47392	admin	OK	EXEC[0]	4.61 ms
18:57:45.788	127.0.0.1:47392	admin	OK	CLOSE[0]	0.05 ms
18:57:45.788	127.0.0.1:47392	admin	REQUEST	EXIT	0.33 ms
18:57:45.788	127.0.0.1:47392	admin	OK		0.12 ms
18:57:45.793	127.0.0.1:47394	admin	OK	QUERY[0] let $s := 3 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$s return for $d in $c//jogadores return $d	0.18 ms
18:57:45.797	127.0.0.1:47394	admin	OK	EXEC[0]	3.75 ms
18:57:45.797	127.0.0.1:47394	admin	OK	CLOSE[0]	0.04 ms
18:57:45.797	127.0.0.1:47394	admin	REQUEST	EXIT	0.26 ms
18:57:45.798	127.0.0.1:47394	admin	OK		0.11 ms
18:57:53.807	127.0.0.1:47400	admin	OK	QUERY[0] <clube> { let $id := 3 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> <liga>{$c/../idliga/text()}</liga> <nomeliga>{$c/../nomeliga/text()}</nomeliga> </club> }</clube>	0.19 ms
18:57:53.811	127.0.0.1:47400	admin	OK	EXEC[0]	4.87 ms
18:57:53.812	127.0.0.1:47400	admin	OK	CLOSE[0]	0.07 ms
18:57:53.812	127.0.0.1:47400	admin	REQUEST	EXIT	0.34 ms
18:57:53.813	127.0.0.1:47400	admin	OK		0.17 ms
18:57:53.819	127.0.0.1:47402	admin	OK	QUERY[0] let $s := 3 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$s return for $d in $c//jogadores return $d	0.13 ms
18:57:53.823	127.0.0.1:47402	admin	OK	EXEC[0]	4.03 ms
18:57:53.824	127.0.0.1:47402	admin	OK	CLOSE[0]	0.04 ms
18:57:53.824	127.0.0.1:47402	admin	REQUEST	EXIT	0.22 ms
18:57:53.824	127.0.0.1:47402	admin	OK		0.1 ms
18:58:14.674	127.0.0.1:47410	admin	OK	QUERY[0] <liga> { let $idliga := 1 for $c in doc('Ligas')/ligas/liga where $c/idliga/text() = $idliga return for $a in $c//clube return <clube> <idclube>{$a/idclube/text()}</idclube> <nomeclube>{$a/nomeclube/text()}</nomeclube> <vitorias>{$a/vitorias/text()}</vitorias> <empates>{$a/empates/text()}</empates> <derrotas>{$a/derrotas/text()}</derrotas> <posicaoclube>{$a/posicaoclube/text()}</posicaoclube> <imagemclube>{$a/imagemclube/text()}</imagemclube> <pontos>{$a/pontos/text()}</pontos> <golosmarcados>{$a/golosmarcados/text()}</golosmarcados> <golossofridos>{$a/golossofridos/text()}</golossofridos> </clube> } </liga>	0.26 ms
18:58:14.681	127.0.0.1:47410	admin	OK	EXEC[0]	7.04 ms
18:58:14.681	127.0.0.1:47410	admin	OK	CLOSE[0]	0.07 ms
18:58:14.682	127.0.0.1:47410	admin	REQUEST	EXIT	0.36 ms
18:58:14.682	127.0.0.1:47410	admin	OK		0.17 ms
18:58:16.422	127.0.0.1:47504	admin	OK	QUERY[0] <clube> { let $id := 10 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> <liga>{$c/../idliga/text()}</liga> <nomeliga>{$c/../nomeliga/text()}</nomeliga> </club> }</clube>	0.17 ms
18:58:16.428	127.0.0.1:47504	admin	OK	EXEC[0]	5.97 ms
18:58:16.428	127.0.0.1:47504	admin	OK	CLOSE[0]	0.07 ms
18:58:16.429	127.0.0.1:47504	admin	REQUEST	EXIT	0.42 ms
18:58:16.429	127.0.0.1:47504	admin	OK		0.21 ms
18:58:16.441	127.0.0.1:47506	admin	OK	QUERY[0] let $s := 10 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$s return for $d in $c//jogadores return $d	0.18 ms
18:58:16.444	127.0.0.1:47506	admin	OK	EXEC[0]	2.97 ms
18:58:16.445	127.0.0.1:47506	admin	OK	CLOSE[0]	0.08 ms
18:58:16.448	127.0.0.1:47506	admin	REQUEST	EXIT	0.41 ms
18:58:16.448	127.0.0.1:47506	admin	OK		0.2 ms
18:58:20.615	127.0.0.1:47514	admin	OK	QUERY[0] <clube> { let $id := 5 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> <liga>{$c/../idliga/text()}</liga> <nomeliga>{$c/../nomeliga/text()}</nomeliga> </club> }</clube>	0.16 ms
18:58:20.620	127.0.0.1:47514	admin	OK	EXEC[0]	5.17 ms
18:58:20.620	127.0.0.1:47514	admin	OK	CLOSE[0]	0.05 ms
18:58:20.621	127.0.0.1:47514	admin	REQUEST	EXIT	0.39 ms
18:58:20.621	127.0.0.1:47514	admin	OK		0.22 ms
18:58:20.623	127.0.0.1:47516	admin	OK	QUERY[0] let $s := 5 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$s return for $d in $c//jogadores return $d	0.1 ms
18:58:20.626	127.0.0.1:47516	admin	OK	EXEC[0]	3.34 ms
18:58:20.627	127.0.0.1:47516	admin	OK	CLOSE[0]	0.09 ms
18:58:20.627	127.0.0.1:47516	admin	REQUEST	EXIT	0.34 ms
18:58:20.628	127.0.0.1:47516	admin	OK		0.19 ms
18:58:24.631	127.0.0.1:47522	admin	OK	QUERY[0] <clube> { let $id := 3 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> <liga>{$c/../idliga/text()}</liga> <nomeliga>{$c/../nomeliga/text()}</nomeliga> </club> }</clube>	0.13 ms
18:58:24.636	127.0.0.1:47522	admin	OK	EXEC[0]	4.78 ms
18:58:24.636	127.0.0.1:47522	admin	OK	CLOSE[0]	0.05 ms
