14:15:58.185	SERVER	admin	OK	Server was started (port: 1984).
14:16:02.745	127.0.0.1:58480	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	49.0 ms
14:16:03.343	127.0.0.1:58480	admin	OK	EXEC[0]	585.49 ms
14:16:03.344	127.0.0.1:58480	admin	OK	CLOSE[0]	0.08 ms
14:16:03.372	127.0.0.1:58480	admin	REQUEST	EXIT	28.38 ms
14:16:03.372	127.0.0.1:58480	admin	OK		0.24 ms
14:16:25.752	127.0.0.1:58564	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.43 ms
14:16:25.760	127.0.0.1:58564	admin	OK	EXEC[0]	7.9 ms
14:16:25.760	127.0.0.1:58564	admin	OK	CLOSE[0]	0.1 ms
14:16:25.762	127.0.0.1:58564	admin	REQUEST	EXIT	0.8 ms
14:16:25.763	127.0.0.1:58564	admin	OK		0.34 ms
14:19:52.635	127.0.0.1:58636	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.16 ms
14:19:52.642	127.0.0.1:58636	admin	OK	EXEC[0]	6.51 ms
14:19:52.642	127.0.0.1:58636	admin	OK	CLOSE[0]	0.08 ms
14:19:52.643	127.0.0.1:58636	admin	REQUEST	EXIT	0.41 ms
14:19:52.643	127.0.0.1:58636	admin	OK		0.22 ms
14:20:21.169	127.0.0.1:58704	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.23 ms
14:20:21.177	127.0.0.1:58704	admin	OK	EXEC[0]	7.6 ms
14:20:21.178	127.0.0.1:58704	admin	OK	CLOSE[0]	0.14 ms
14:20:21.184	127.0.0.1:58704	admin	REQUEST	EXIT	0.51 ms
14:20:21.185	127.0.0.1:58704	admin	OK		0.23 ms
14:20:31.195	127.0.0.1:58772	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.25 ms
14:20:31.201	127.0.0.1:58772	admin	OK	EXEC[0]	6.0 ms
14:20:31.201	127.0.0.1:58772	admin	OK	CLOSE[0]	0.05 ms
14:20:31.202	127.0.0.1:58772	admin	REQUEST	EXIT	0.38 ms
14:20:31.202	127.0.0.1:58772	admin	OK		0.2 ms
14:22:17.833	127.0.0.1:58838	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.18 ms
14:22:17.840	127.0.0.1:58838	admin	OK	EXEC[0]	6.33 ms
14:22:17.840	127.0.0.1:58838	admin	OK	CLOSE[0]	0.09 ms
14:22:17.844	127.0.0.1:58838	admin	REQUEST	EXIT	0.47 ms
14:22:17.845	127.0.0.1:58838	admin	OK		0.29 ms
14:22:59.391	127.0.0.1:58966	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.19 ms
14:22:59.396	127.0.0.1:58966	admin	OK	EXEC[0]	5.57 ms
14:22:59.397	127.0.0.1:58966	admin	OK	CLOSE[0]	0.07 ms
14:22:59.397	127.0.0.1:58966	admin	REQUEST	EXIT	0.3 ms
14:22:59.397	127.0.0.1:58966	admin	OK		0.14 ms
14:23:09.493	127.0.0.1:59030	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.2 ms
14:23:09.499	127.0.0.1:59030	admin	OK	EXEC[0]	5.89 ms
14:23:09.500	127.0.0.1:59030	admin	OK	CLOSE[0]	0.08 ms
14:23:09.501	127.0.0.1:59030	admin	REQUEST	EXIT	0.5 ms
14:23:09.502	127.0.0.1:59030	admin	OK		0.27 ms
14:23:27.752	127.0.0.1:59098	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.13 ms
14:23:27.757	127.0.0.1:59098	admin	OK	EXEC[0]	5.05 ms
14:23:27.757	127.0.0.1:59098	admin	OK	CLOSE[0]	0.06 ms
14:23:27.758	127.0.0.1:59098	admin	REQUEST	EXIT	0.37 ms
14:23:27.758	127.0.0.1:59098	admin	OK		0.19 ms
14:23:34.723	127.0.0.1:59162	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.2 ms
14:23:34.726	127.0.0.1:59162	admin	OK	EXEC[0]	3.55 ms
14:23:34.727	127.0.0.1:59162	admin	OK	CLOSE[0]	0.06 ms
14:23:34.727	127.0.0.1:59162	admin	REQUEST	EXIT	0.37 ms
14:23:34.727	127.0.0.1:59162	admin	OK		0.19 ms
14:23:43.032	127.0.0.1:59226	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.2 ms
14:23:43.039	127.0.0.1:59226	admin	OK	EXEC[0]	6.15 ms
14:23:43.039	127.0.0.1:59226	admin	OK	CLOSE[0]	0.06 ms
14:23:43.044	127.0.0.1:59226	admin	REQUEST	EXIT	0.5 ms
14:23:43.045	127.0.0.1:59226	admin	OK		0.36 ms
14:23:48.324	127.0.0.1:59290	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.21 ms
14:23:48.328	127.0.0.1:59290	admin	OK	EXEC[0]	3.77 ms
14:23:48.328	127.0.0.1:59290	admin	OK	CLOSE[0]	0.1 ms
14:23:48.329	127.0.0.1:59290	admin	REQUEST	EXIT	0.47 ms
14:23:48.329	127.0.0.1:59290	admin	OK		0.27 ms
14:23:54.431	127.0.0.1:59354	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.2 ms
14:23:54.436	127.0.0.1:59354	admin	OK	EXEC[0]	4.13 ms
14:23:54.436	127.0.0.1:59354	admin	OK	CLOSE[0]	0.08 ms
14:23:54.437	127.0.0.1:59354	admin	REQUEST	EXIT	0.36 ms
14:23:54.437	127.0.0.1:59354	admin	OK		0.18 ms
14:23:59.702	127.0.0.1:59418	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.16 ms
14:23:59.706	127.0.0.1:59418	admin	OK	EXEC[0]	3.6 ms
14:23:59.706	127.0.0.1:59418	admin	OK	CLOSE[0]	0.06 ms
14:23:59.707	127.0.0.1:59418	admin	REQUEST	EXIT	0.35 ms
14:23:59.707	127.0.0.1:59418	admin	OK		0.25 ms
14:24:42.742	127.0.0.1:59484	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.27 ms
14:24:42.750	127.0.0.1:59484	admin	OK	EXEC[0]	6.98 ms
14:24:42.750	127.0.0.1:59484	admin	OK	CLOSE[0]	0.09 ms
14:24:42.751	127.0.0.1:59484	admin	REQUEST	EXIT	0.52 ms
14:24:42.751	127.0.0.1:59484	admin	OK		0.29 ms
14:24:59.567	127.0.0.1:59552	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.18 ms
14:24:59.574	127.0.0.1:59552	admin	OK	EXEC[0]	6.32 ms
14:24:59.574	127.0.0.1:59552	admin	OK	CLOSE[0]	0.07 ms
14:24:59.575	127.0.0.1:59552	admin	REQUEST	EXIT	0.41 ms
14:24:59.575	127.0.0.1:59552	admin	OK		0.23 ms
14:25:21.311	127.0.0.1:59616	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.18 ms
14:25:21.315	127.0.0.1:59616	admin	OK	EXEC[0]	3.63 ms
14:25:21.315	127.0.0.1:59616	admin	OK	CLOSE[0]	0.05 ms
14:25:21.316	127.0.0.1:59616	admin	REQUEST	EXIT	0.45 ms
14:25:21.316	127.0.0.1:59616	admin	OK		0.27 ms
14:25:38.915	127.0.0.1:59680	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.18 ms
14:25:38.919	127.0.0.1:59680	admin	OK	EXEC[0]	4.19 ms
14:25:38.919	127.0.0.1:59680	admin	OK	CLOSE[0]	0.06 ms
14:25:38.920	127.0.0.1:59680	admin	REQUEST	EXIT	0.41 ms
14:25:38.920	127.0.0.1:59680	admin	OK		0.22 ms
15:34:24.344	127.0.0.1:33166	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.11 ms
15:34:24.347	127.0.0.1:33166	admin	OK	EXEC[0]	3.12 ms
15:34:24.348	127.0.0.1:33166	admin	OK	CLOSE[0]	0.07 ms
15:34:24.348	127.0.0.1:33166	admin	REQUEST	EXIT	0.33 ms
15:34:24.348	127.0.0.1:33166	admin	OK		0.17 ms
