14:45:14.665	SERVER	admin	OK	Server was started (port: 1984).
14:45:21.246	127.0.0.1:45276	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	38.0 ms
14:45:21.457	127.0.0.1:45276	admin	REQUEST	EXEC[0]	196.02 ms
14:45:21.457	127.0.0.1:45276	admin	ERROR	Stopped at ., 3/17: [XQST0059] Could not retrieve module: /home/joaoteixeira/Desktop/basex/bin/index.xqm.	0.13 ms
14:45:21.565	127.0.0.1:45276	admin	REQUEST	EXIT	107.61 ms
14:45:21.598	127.0.0.1:45276	admin	OK		32.35 ms
14:45:38.290	127.0.0.1:45282	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	0.39 ms
14:45:38.292	127.0.0.1:45282	admin	REQUEST	EXEC[0]	1.09 ms
14:45:38.292	127.0.0.1:45282	admin	ERROR	Stopped at ., 3/17: [XQST0059] Could not retrieve module: /home/joaoteixeira/Desktop/basex/bin/index.xqm.	0.18 ms
14:45:38.294	127.0.0.1:45282	admin	REQUEST	EXIT	1.92 ms
14:45:38.294	127.0.0.1:45282	admin	OK		0.38 ms
14:46:32.100	SERVER	admin	OK	Server was stopped (port: 1984).
14:46:33.274	SERVER	admin	OK	Server was started (port: 1984).
14:46:35.641	127.0.0.1:45288	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	5.69 ms
14:46:35.740	127.0.0.1:45288	admin	REQUEST	EXEC[0]	98.56 ms
14:46:35.741	127.0.0.1:45288	admin	ERROR	Stopped at ., 3/17: [XQST0059] Could not retrieve module: /home/joaoteixeira/Desktop/basex/bin/index.xqm.	0.2 ms
14:46:35.763	127.0.0.1:45288	admin	REQUEST	EXIT	22.48 ms
14:46:35.764	127.0.0.1:45288	admin	OK		1.09 ms
14:49:25.014	SERVER	admin	OK	Server was stopped (port: 1984).
14:50:20.341	SERVER	admin	ERROR	Server is running or permission was denied.
14:50:25.680	SERVER	admin	OK	Server was started (port: 1984).
14:50:28.046	127.0.0.1:45344	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	6.16 ms
14:50:28.620	127.0.0.1:45344	admin	OK	EXEC[0]	573.05 ms
14:50:28.620	127.0.0.1:45344	admin	OK	CLOSE[0]	0.11 ms
14:50:28.636	127.0.0.1:45344	admin	REQUEST	EXIT	15.96 ms
14:50:28.637	127.0.0.1:45344	admin	OK		0.3 ms
14:54:58.341	127.0.0.1:45452	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	0.32 ms
14:54:58.391	127.0.0.1:45452	admin	OK	EXEC[0]	50.17 ms
14:54:58.391	127.0.0.1:45452	admin	OK	CLOSE[0]	0.07 ms
14:54:58.397	127.0.0.1:45452	admin	REQUEST	EXIT	0.45 ms
14:54:58.398	127.0.0.1:45452	admin	OK		0.22 ms
14:58:44.268	127.0.0.1:46076	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	0.16 ms
14:58:44.287	127.0.0.1:46076	admin	OK	EXEC[0]	19.11 ms
14:58:44.288	127.0.0.1:46076	admin	OK	CLOSE[0]	0.11 ms
14:58:44.296	127.0.0.1:46076	admin	REQUEST	EXIT	0.52 ms
14:58:44.296	127.0.0.1:46076	admin	OK		0.23 ms
14:59:10.165	127.0.0.1:46092	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	0.18 ms
14:59:10.184	127.0.0.1:46092	admin	OK	EXEC[0]	18.22 ms
14:59:10.184	127.0.0.1:46092	admin	OK	CLOSE[0]	0.09 ms
14:59:10.191	127.0.0.1:46092	admin	REQUEST	EXIT	0.46 ms
14:59:10.191	127.0.0.1:46092	admin	OK		0.23 ms
14:59:34.096	127.0.0.1:46166	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	0.16 ms
14:59:34.109	127.0.0.1:46166	admin	OK	EXEC[0]	12.38 ms
14:59:34.109	127.0.0.1:46166	admin	OK	CLOSE[0]	0.05 ms
14:59:34.109	127.0.0.1:46166	admin	REQUEST	EXIT	0.37 ms
14:59:34.109	127.0.0.1:46166	admin	OK		0.2 ms
14:59:42.549	127.0.0.1:46238	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	0.13 ms
14:59:42.560	127.0.0.1:46238	admin	OK	EXEC[0]	10.91 ms
14:59:42.560	127.0.0.1:46238	admin	OK	CLOSE[0]	0.05 ms
14:59:42.560	127.0.0.1:46238	admin	REQUEST	EXIT	0.36 ms
14:59:42.561	127.0.0.1:46238	admin	OK		0.22 ms
15:00:01.722	127.0.0.1:46380	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	0.14 ms
15:00:01.734	127.0.0.1:46380	admin	OK	EXEC[0]	12.71 ms
15:00:01.735	127.0.0.1:46380	admin	OK	CLOSE[0]	0.09 ms
15:00:01.744	127.0.0.1:46380	admin	REQUEST	EXIT	0.44 ms
15:00:01.744	127.0.0.1:46380	admin	OK		0.28 ms
15:01:50.257	127.0.0.1:46518	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	0.17 ms
15:01:50.269	127.0.0.1:46518	admin	OK	EXEC[0]	11.51 ms
15:01:50.269	127.0.0.1:46518	admin	OK	CLOSE[0]	0.07 ms
15:01:50.269	127.0.0.1:46518	admin	REQUEST	EXIT	0.37 ms
15:01:50.270	127.0.0.1:46518	admin	OK		0.21 ms
15:04:02.480	127.0.0.1:46594	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	0.16 ms
15:04:02.489	127.0.0.1:46594	admin	OK	EXEC[0]	8.99 ms
15:04:02.489	127.0.0.1:46594	admin	OK	CLOSE[0]	0.07 ms
15:04:02.492	127.0.0.1:46594	admin	REQUEST	EXIT	0.46 ms
15:04:02.492	127.0.0.1:46594	admin	OK		0.22 ms
15:04:29.933	127.0.0.1:46682	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	0.15 ms
15:04:29.945	127.0.0.1:46682	admin	OK	EXEC[0]	11.44 ms
15:04:29.946	127.0.0.1:46682	admin	OK	CLOSE[0]	0.26 ms
15:04:29.952	127.0.0.1:46682	admin	REQUEST	EXIT	0.46 ms
15:04:29.952	127.0.0.1:46682	admin	OK		0.23 ms
15:04:47.546	127.0.0.1:46756	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:listLigas()	0.11 ms
15:04:47.556	127.0.0.1:46756	admin	OK	EXEC[0]	10.0 ms
15:04:47.557	127.0.0.1:46756	admin	OK	CLOSE[0]	0.1 ms
15:04:47.563	127.0.0.1:46756	admin	REQUEST	EXIT	0.48 ms
15:04:47.564	127.0.0.1:46756	admin	OK		0.26 ms
15:08:35.794	127.0.0.1:47532	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:showLiga('5')	0.33 ms
15:08:35.816	127.0.0.1:47532	admin	OK	EXEC[0]	21.08 ms
15:08:35.816	127.0.0.1:47532	admin	OK	CLOSE[0]	0.05 ms
15:08:35.817	127.0.0.1:47532	admin	REQUEST	EXIT	0.41 ms
15:08:35.817	127.0.0.1:47532	admin	OK		0.22 ms
15:10:27.600	127.0.0.1:47562	admin	OK	QUERY[0] import module namespace funcs="com.funcs.my.index" at "index.xqm"; funcs:showLiga('2')	0.13 ms
15:10:27.614	127.0.0.1:47562	admin	OK	EXEC[0]	13.63 ms
