15:20:41.325	SERVER	admin	OK	Server was started (port: 1984).
15:56:33.087	127.0.0.1:34588	admin	REQUEST	EXIT	0.21 ms
15:56:33.087	127.0.0.1:34588	admin	OK		0.11 ms
15:57:58.748	127.0.0.1:34628	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.2 ms
15:57:58.755	127.0.0.1:34628	admin	OK	EXEC[0]	6.31 ms
15:57:58.755	127.0.0.1:34628	admin	OK	CLOSE[0]	0.09 ms
15:57:58.756	127.0.0.1:34628	admin	REQUEST	EXIT	0.43 ms
15:57:58.756	127.0.0.1:34628	admin	OK		0.22 ms
15:58:51.179	127.0.0.1:34642	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.13 ms
15:58:51.184	127.0.0.1:34642	admin	OK	EXEC[0]	4.76 ms
15:58:51.185	127.0.0.1:34642	admin	OK	CLOSE[0]	0.06 ms
15:58:51.186	127.0.0.1:34642	admin	REQUEST	EXIT	0.36 ms
15:58:51.186	127.0.0.1:34642	admin	OK		0.16 ms
16:01:28.065	127.0.0.1:34654	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.24 ms
16:01:28.069	127.0.0.1:34654	admin	OK	EXEC[0]	3.05 ms
16:01:28.069	127.0.0.1:34654	admin	OK	CLOSE[0]	0.03 ms
16:01:28.069	127.0.0.1:34654	admin	REQUEST	EXIT	0.22 ms
16:01:28.069	127.0.0.1:34654	admin	OK		0.09 ms
16:01:39.731	127.0.0.1:34666	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.28 ms
16:01:39.736	127.0.0.1:34666	admin	OK	EXEC[0]	4.26 ms
16:01:39.736	127.0.0.1:34666	admin	OK	CLOSE[0]	0.05 ms
16:01:39.737	127.0.0.1:34666	admin	REQUEST	EXIT	0.31 ms
16:01:39.737	127.0.0.1:34666	admin	OK		0.16 ms
16:05:04.846	127.0.0.1:34690	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.17 ms
16:05:04.850	127.0.0.1:34690	admin	OK	EXEC[0]	3.38 ms
16:05:04.850	127.0.0.1:34690	admin	OK	CLOSE[0]	0.05 ms
16:05:04.851	127.0.0.1:34690	admin	REQUEST	EXIT	0.33 ms
16:05:04.851	127.0.0.1:34690	admin	OK		0.17 ms
16:05:32.217	127.0.0.1:34702	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.24 ms
16:05:32.221	127.0.0.1:34702	admin	OK	EXEC[0]	4.27 ms
16:05:32.222	127.0.0.1:34702	admin	OK	CLOSE[0]	0.06 ms
16:05:32.222	127.0.0.1:34702	admin	REQUEST	EXIT	0.28 ms
16:05:32.222	127.0.0.1:34702	admin	OK		0.18 ms
16:08:42.081	127.0.0.1:34716	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.28 ms
16:08:42.086	127.0.0.1:34716	admin	OK	EXEC[0]	4.38 ms
16:08:42.086	127.0.0.1:34716	admin	OK	CLOSE[0]	0.05 ms
16:08:42.087	127.0.0.1:34716	admin	REQUEST	EXIT	0.25 ms
16:08:42.087	127.0.0.1:34716	admin	OK		0.14 ms
16:08:48.427	127.0.0.1:34742	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.22 ms
16:08:48.430	127.0.0.1:34742	admin	OK	EXEC[0]	3.41 ms
16:08:48.431	127.0.0.1:34742	admin	OK	CLOSE[0]	0.04 ms
16:08:48.431	127.0.0.1:34742	admin	REQUEST	EXIT	0.18 ms
16:08:48.431	127.0.0.1:34742	admin	OK		0.09 ms
16:09:10.139	127.0.0.1:34770	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.18 ms
16:09:10.143	127.0.0.1:34770	admin	OK	EXEC[0]	3.97 ms
16:09:10.144	127.0.0.1:34770	admin	OK	CLOSE[0]	0.08 ms
16:09:10.144	127.0.0.1:34770	admin	REQUEST	EXIT	0.26 ms
16:09:10.144	127.0.0.1:34770	admin	OK		0.14 ms
16:10:57.073	127.0.0.1:34784	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.18 ms
16:10:57.075	127.0.0.1:34784	admin	OK	EXEC[0]	2.65 ms
16:10:57.076	127.0.0.1:34784	admin	OK	CLOSE[0]	0.04 ms
16:10:57.076	127.0.0.1:34784	admin	REQUEST	EXIT	0.24 ms
16:10:57.076	127.0.0.1:34784	admin	OK		0.15 ms
16:12:11.189	127.0.0.1:34804	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.17 ms
16:12:11.192	127.0.0.1:34804	admin	OK	EXEC[0]	3.04 ms
16:12:11.192	127.0.0.1:34804	admin	OK	CLOSE[0]	0.03 ms
16:12:11.193	127.0.0.1:34804	admin	REQUEST	EXIT	0.23 ms
16:12:11.193	127.0.0.1:34804	admin	OK		0.11 ms
16:12:28.271	127.0.0.1:34858	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	0.09 ms
16:12:28.274	127.0.0.1:34858	admin	OK	EXEC[0]	3.13 ms
16:12:28.274	127.0.0.1:34858	admin	OK	CLOSE[0]	0.04 ms
16:12:28.275	127.0.0.1:34858	admin	REQUEST	EXIT	0.29 ms
16:12:28.275	127.0.0.1:34858	admin	OK		0.16 ms
16:14:38.187	SERVER	admin	OK	Server was stopped (port: 1984).
