17:07:44.703	SERVER	admin	OK	Server was started (port: 1984).
17:07:47.910	127.0.0.1:57320	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	49.1 ms
17:07:48.530	127.0.0.1:57320	admin	OK	EXEC[0]	619.37 ms
17:07:48.531	127.0.0.1:57320	admin	OK	CLOSE[0]	0.11 ms
17:07:48.560	127.0.0.1:57320	admin	REQUEST	EXIT	29.39 ms
17:07:48.560	127.0.0.1:57320	admin	OK		0.25 ms
17:07:58.296	127.0.0.1:57392	admin	OK	QUERY[0] <liga> { let $idliga := 1 for $c in doc('Ligas')/ligas/liga where $c/idliga/text() = $idliga return for $a in $c//clube return <clube> <idclube>{$a/idclube/text()}</idclube> <nomeclube>{$a/nomeclube/text()}</nomeclube> <vitorias>{$a/vitorias/text()}</vitorias> <empates>{$a/empates/text()}</empates> <derrotas>{$a/derrotas/text()}</derrotas> <posicaoclube>{$a/posicaoclube/text()}</posicaoclube> <imagemclube>{$a/imagemclube/text()}</imagemclube> <pontos>{$a/pontos/text()}</pontos> <golosmarcados>{$a/golosmarcados/text()}</golosmarcados> <golossofridos>{$a/golossofridos/text()}</golossofridos> </clube> } </liga>	1.39 ms
17:07:58.359	127.0.0.1:57392	admin	OK	EXEC[0]	61.8 ms
17:07:58.359	127.0.0.1:57392	admin	OK	CLOSE[0]	0.1 ms
17:07:58.360	127.0.0.1:57392	admin	REQUEST	EXIT	0.46 ms
17:07:58.360	127.0.0.1:57392	admin	OK		0.23 ms
17:36:54.295	127.0.0.1:57702	admin	OK	QUERY[0] <clube> { let $id := 4 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> </club> }</clube>	0.3 ms
17:36:54.310	127.0.0.1:57702	admin	OK	EXEC[0]	14.42 ms
17:36:54.310	127.0.0.1:57702	admin	OK	CLOSE[0]	0.09 ms
17:36:54.310	127.0.0.1:57702	admin	REQUEST	EXIT	0.4 ms
17:36:54.311	127.0.0.1:57702	admin	OK		0.22 ms
17:44:28.687	127.0.0.1:57816	admin	OK	QUERY[0] <clube> { let $id := 4 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> </club> }</clube>	0.29 ms
17:44:28.698	127.0.0.1:57816	admin	OK	EXEC[0]	10.45 ms
17:44:28.698	127.0.0.1:57816	admin	OK	CLOSE[0]	0.09 ms
17:44:28.702	127.0.0.1:57816	admin	REQUEST	EXIT	0.49 ms
17:44:28.703	127.0.0.1:57816	admin	OK		0.24 ms
17:45:32.501	127.0.0.1:57830	admin	OK	QUERY[0] <clube> { let $id := 4 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> </club> }</clube>	0.35 ms
17:45:32.508	127.0.0.1:57830	admin	OK	EXEC[0]	6.96 ms
17:45:32.508	127.0.0.1:57830	admin	OK	CLOSE[0]	0.05 ms
17:45:32.508	127.0.0.1:57830	admin	REQUEST	EXIT	0.29 ms
17:45:32.509	127.0.0.1:57830	admin	OK		0.2 ms
17:45:32.511	127.0.0.1:57832	admin	OK	QUERY[0] let $s := 1 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$s return for $d in $c//jogadores return $d	0.15 ms
17:45:32.520	127.0.0.1:57832	admin	OK	EXEC[0]	9.25 ms
17:45:32.520	127.0.0.1:57832	admin	OK	CLOSE[0]	0.06 ms
17:45:32.521	127.0.0.1:57832	admin	REQUEST	EXIT	0.41 ms
17:45:32.521	127.0.0.1:57832	admin	OK		0.29 ms
17:46:11.776	127.0.0.1:57838	admin	OK	QUERY[0] <clube> { let $id := 4 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> </club> }</clube>	0.32 ms
17:46:11.784	127.0.0.1:57838	admin	OK	EXEC[0]	7.6 ms
17:46:11.784	127.0.0.1:57838	admin	OK	CLOSE[0]	0.05 ms
17:46:11.784	127.0.0.1:57838	admin	REQUEST	EXIT	0.35 ms
17:46:11.784	127.0.0.1:57838	admin	OK		0.13 ms
17:46:11.789	127.0.0.1:57840	admin	OK	QUERY[0] let $s := 1 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$s return for $d in $c//jogadores return $d	0.16 ms
17:46:11.797	127.0.0.1:57840	admin	OK	EXEC[0]	7.47 ms
17:46:11.797	127.0.0.1:57840	admin	OK	CLOSE[0]	0.08 ms
17:46:11.802	127.0.0.1:57840	admin	REQUEST	EXIT	0.46 ms
17:46:11.803	127.0.0.1:57840	admin	OK		0.27 ms
