12:38:55.716	SERVER	admin	OK	Server was started (port: 1984).
12:39:23.792	127.0.0.1:41536	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	9.79 ms
12:39:24.090	127.0.0.1:41536	admin	OK	EXEC[0]	297.82 ms
12:39:24.091	127.0.0.1:41536	admin	OK	CLOSE[0]	0.09 ms
12:39:24.104	127.0.0.1:41536	admin	REQUEST	EXIT	12.71 ms
12:39:24.104	127.0.0.1:41536	admin	OK		0.37 ms
12:39:26.223	127.0.0.1:41672	admin	OK	QUERY[0] <ligas> { let $idliga := request.GET['idliga'] for $c in doc('Ligas')/ligas/liga where $c/idliga/text() = $idliga return for $a in $c//clube return <clube> <idclube>{$a/idclube/text()}</idclube> <nomeclube>{$a/nomeclube/text()}</nomeclube> <vitorias>{$a/vitorias/text()}</vitorias> <empates>{$a/empates/text()}</empates> <derrotas>{$a/derrotas/text()}</derrotas> <posicaoclube>{$a/posicaoclube/text()}</posicaoclube> <imagemclube>{$a/imagemclube/text()}</imagemclube> <pontos>{$a/pontos/text()}</pontos> <golosmarcados>{$a/golosmarcados/text()}</golosmarcados> <golossofridos>{$a/golossofridos/text()}</golossofridos> </clube> } </ligas>	0.49 ms
12:39:26.246	127.0.0.1:41672	admin	REQUEST	EXEC[0]	22.58 ms
12:39:26.246	127.0.0.1:41672	admin	ERROR	Stopped at ., 4/23: [XPDY0002] request.GET: no context value bound.	0.12 ms
12:39:26.246	127.0.0.1:41672	admin	REQUEST	EXIT	0.25 ms
12:39:26.246	127.0.0.1:41672	admin	OK		0.13 ms
